date,equity
2018-05-09,0.9657916228741327
2018-05-16,0.9688231412042986
2018-05-23,0.9849401135081916
2018-05-30,0.9488739946015102
2018-06-06,0.963474092398817
2018-06-13,0.9491011456538071
2018-06-20,0.9455117898295425
2018-06-27,0.932563300861866
2018-07-04,0.9384088842059001
2018-07-11,0.9133242148476565
2018-07-18,0.9392809807927454
2018-07-25,0.9362081849218861
2018-08-01,0.9354428993943275
2018-08-08,0.9176005471367844
2018-08-16,0.9155584100680769
2018-08-24,0.9337673246684342
2018-08-31,0.9258165346181514
2018-09-07,0.9220214347099311
2018-09-17,0.9546488500707309
2018-09-25,0.952367072864778
2018-10-03,0.960132318249891
2018-10-10,0.9726119408477004
2018-10-17,0.9396557068350803
2018-10-25,0.994224121340584
2018-11-01,1.0070874967848844
2018-11-09,0.9917461343356194
2018-11-16,0.983230720979378
2018-11-26,0.9650835012618247
2018-12-03,0.932730747317376
2018-12-10,0.969106830009826
2018-12-17,0.9572657312533216
2018-12-24,0.9496510281806452
2019-01-01,0.9466580543982623
2019-01-08,0.9454295284080986
2019-01-15,0.9202457174688249
2019-01-22,0.9432762075389737
2019-01-29,0.9262596616962596
2019-02-05,0.9213422840177373
2019-02-12,0.9483237790395903
2019-02-19,0.9445910611129136
2019-02-26,0.9341104003768436
2019-03-06,0.9288090315930907
2019-03-13,0.9359288858628037
2019-03-20,0.9408448939972166
2019-03-28,0.9516463386036854
2019-04-04,0.9422624676925446
2019-04-11,0.9433652158454835
2019-04-22,0.9235350623395508
2019-04-30,0.9288779446704049
2019-05-08,0.9301857587866268
2019-05-15,0.9607546373109673
2019-05-22,0.9853767861762691
2019-05-29,0.9468695542802918
2019-06-06,0.9162933891240984
2019-06-13,0.8902764633956136
2019-06-20,0.9139072334932993
2019-06-27,0.8899306522060009
2019-07-04,0.8721630949717127
2019-07-11,0.8578097728031334
2019-07-18,0.8420716797470672
2019-07-25,0.854039730683112
2019-08-01,0.8479771606861826
2019-08-08,0.8463791003772575
2019-08-19,0.8243623157713148
2019-08-26,0.8209500049902044
2019-09-03,0.8466136372103693
2019-09-11,0.8569369812871714
2019-09-18,0.832997114438358
2019-09-25,0.796920575593435
2019-10-03,0.7846591816584213
2019-10-11,0.7839879962368604
2019-10-18,0.7890321348370947
2019-10-27,0.806202006921186
2019-11-04,0.8086424015552879
2019-11-11,0.8186763760083589
2019-11-19,0.8191260388819127
2019-11-26,0.8343485450925976
2019-12-03,0.8181177076529934
2019-12-10,0.8145655873381519
2019-12-17,0.8158970981916915
2019-12-24,0.808810017804693
2020-01-01,0.8304083717003026
2020-01-08,0.8409995773700312
2020-01-15,0.8601293348138201
2020-01-22,0.8451860295170665
2020-01-29,0.8343439081275221
2020-02-04,0.8364967979346701
2020-02-11,0.8163361025773757
2020-02-18,0.8144923618005746
2020-02-26,0.7832827815347122
2020-03-04,0.7544205835420414
2020-03-12,0.7575402702522749
2020-03-19,0.7500993030608882
2020-03-26,0.7882036945073976
2020-04-03,0.7805883627184429
2020-04-15,0.7846470181221519
2020-04-22,0.7885629392025729
2020-04-29,0.7798101928073706
2020-05-07,0.7675678058199006
2020-05-14,0.7662445349356386
2020-05-21,0.7764171655758209
2020-05-29,0.816373727731511
2020-06-05,0.8338401336159328
2020-06-12,0.8446040990998578
2020-06-19,0.8511622112394968
2020-06-26,0.8388061510845759
2020-07-03,0.8503857750798925
2020-07-10,0.8394328162879345
2020-07-17,0.8438572898719717
2020-07-24,0.8617616140709126
2020-07-31,0.8840382287234243
2020-08-07,0.8927962512967896
2020-08-14,0.8642911296228857
2020-08-21,0.8804818309492316
2020-08-28,0.8784557254869646
2020-09-04,0.8877414150103632
2020-09-11,0.9208854308829458
2020-09-18,0.9105462493891843
2020-09-25,0.9225200326775036
2020-10-05,0.8945344673812482
2020-10-12,0.8993673144238198
2020-10-19,0.9166001664925868
2020-10-26,0.9206457432492309
2020-11-02,0.901867016790588
2020-11-09,0.8933691347088545
2020-11-14,0.9052156977734334
2020-11-23,0.9135782396742604
2020-12-01,0.9047911750718094
2020-12-08,0.8987887122837019
2020-12-15,0.9035926895060822
2020-12-22,0.9265656251669894
2020-12-30,0.9310036924734661
2021-01-06,0.9088143767742654
2021-01-13,0.9189563882890184
2021-01-20,0.889973557320081
2021-01-28,0.9355268661800904
2021-02-04,0.946804159786342
2021-02-11,1.0105333955859286
2021-02-18,1.063912569383385
2021-02-25,1.081678432766261
2021-03-04,1.0935537746394135
2021-03-12,1.1056159636718204
2021-03-19,1.1028858403503883
2021-03-26,1.130102129647941
2021-04-06,1.1089343059339694
2021-04-13,1.1216344655387291
2021-04-22,1.1374178360292113
2021-04-29,1.1536737851666976
2021-05-06,1.154869152182056
2021-05-14,1.1926167691784277
2021-05-21,1.1712361789203645
2021-05-28,1.2459286465490658
2021-06-04,1.2514400261814258
2021-06-11,1.1898175300438074
2021-06-18,1.1939305928466177
2021-06-25,1.1980782868148505
2021-07-02,1.2007414974622916
2021-07-09,1.2012326073236848
2021-07-16,1.2223770987513631
2021-07-26,1.2470810244906725
2021-08-02,1.2216130864885082
2021-08-09,1.2390660574572383
2021-08-16,1.243845622551862
2021-08-24,1.2733074718489452
2021-08-31,1.251438318584232
2021-09-07,1.2509237748856883
2021-09-15,1.2461939531728774
2021-09-22,1.2518178104048772
2021-09-29,1.23621699216619
2021-10-06,1.2784813023613968
2021-10-13,1.283543687072198
2021-10-21,1.2838987644216946
2021-10-28,1.2855188427567714
2021-11-04,1.3104530328537225
2021-11-12,1.2994406887679906
2021-11-22,1.3118213479366578
2021-11-29,1.3456129318403234
2021-12-06,1.3470729594459445
2021-12-13,1.325688522748277
2021-12-20,1.3530186326438371
2021-12-27,1.3467965742243746
2022-01-03,1.348278528520753
2022-01-10,1.3473501549636138
2022-01-17,1.3807393268601007
2022-01-24,1.3695358594386993
2022-02-01,1.3655710155576568
2022-02-08,1.3345745125870698
2022-02-15,1.3326244002497847
2022-02-22,1.3557424266164613
2022-03-02,1.3634207217682406
2022-03-09,1.3667013454340105
2022-03-16,1.3877945189172938
2022-03-24,1.4024029299111436
2022-03-31,1.4007694359122487
2022-04-07,1.408181077211026
2022-04-18,1.400345254602128
2022-04-25,1.3770577577013854
2022-05-02,1.3358500611590869
2022-05-10,1.3421041690869018
2022-05-17,1.3188140674585003
2022-05-24,1.330028769174143
2022-05-31,1.3532639982705863
2022-06-07,1.3332433968921875
2022-06-14,1.3253876577668553
2022-06-21,1.3413506633529733
2022-06-28,1.3109446124171622
2022-07-05,1.3206452138411102
2022-07-12,1.309342542940767
2022-07-19,1.3106682533720073
2022-07-26,1.3187467205381795
2022-08-02,1.3249905101990926
2022-08-10,1.3609626471758096
2022-08-18,1.3817201712302827
2022-08-25,1.4169348354136324
2022-09-02,1.415774880705321
2022-09-09,1.4370765486167303
2022-09-16,1.4316329232802314
2022-09-23,1.3998088387878678
2022-09-30,1.4184495289200083
2022-10-10,1.4071391868479355
2022-10-17,1.4056743111022882
2022-10-24,1.3815175542302551
2022-11-01,1.4410826419689773
2022-11-09,1.4156091563333268
2022-11-16,1.4212700624647778
2022-11-23,1.3883150538632827
2022-11-30,1.4087822075368945
2022-12-07,1.408870572626744
2022-12-14,1.3652582909127478
2022-12-21,1.3767103644694687
2022-12-28,1.4088331284951572
2023-01-04,1.4054747569095631
2023-01-11,1.4024611886179368
2023-01-18,1.376642855305987
2023-01-25,1.3418719386964089
2023-02-02,1.3325347327162924
2023-02-09,1.2890626586035794
2023-02-16,1.2627274232110652
2023-02-23,1.3440526009937048
2023-03-02,1.381754883679698
2023-03-10,1.3707749291961708
2023-03-17,1.3748056891179956
2023-03-24,1.3733443526895406
2023-04-03,1.3675995865062769
2023-04-12,1.364235514963309
2023-04-20,1.3814859413629164
2023-04-27,1.4018984253612288
2023-05-05,1.3496536150952103
2023-05-12,1.3693722165220095
2023-05-19,1.3763251573009099
2023-05-26,1.3961571987592571
2023-06-02,1.4201911042950137
2023-06-09,1.4576024951646172
2023-06-16,1.450654564606229
2023-06-23,1.4567064927909135
2023-07-03,1.4737594404407923
2023-07-10,1.4817416476041014
2023-07-17,1.5166873151287645
2023-07-24,1.5168230626493087
2023-07-31,1.5157243714684894
2023-08-07,1.541541973338999
2023-08-14,1.5839390635399073
2023-08-22,1.5623432016647485
2023-08-29,1.592786182065433
2023-09-05,1.5994839051790006
2023-09-12,1.6171135052088452
2023-09-20,1.651277111181422
2023-09-27,1.6678601120542358
2023-10-05,1.671765566495324
2023-10-12,1.6884449921424647
2023-10-19,1.67216418837354
2023-10-27,1.7128964835464888
2023-11-03,1.7180254740350323
2023-11-10,1.7524048743122573
2023-11-17,1.748745325890721
2023-11-24,1.8040395633724016
2023-12-04,1.8036705109435185
2023-12-11,1.820269745405046
2023-12-18,1.8313730035327245
2023-12-26,1.8455238547412187
2024-01-02,1.9277494780390034
2024-01-09,1.9814618522198348
2024-01-16,2.0322703707967165
2024-01-23,2.1302022845885045
2024-01-31,2.25088297704881
2024-02-07,2.2097536896328376
2024-02-14,2.1957233037669734
2024-02-21,2.210223119152983
2024-02-28,2.3354982217978995
2024-03-05,2.1368554124182473
2024-03-13,2.158921863431022
2024-03-20,2.217605601657942
2024-03-28,2.325445375879056
2024-04-05,2.306665112925998
2024-04-15,2.353436469102725
2024-04-23,2.4266733991161695
2024-04-30,2.3567364384729212
2024-05-08,2.441460544276262
2024-05-15,2.513514162963052
2024-05-22,2.4777897532790014
2024-05-29,2.4016483425980177
2024-06-05,2.4613290455621724
2024-06-12,2.533457789216188
2024-06-20,2.529488820314297
2024-06-27,2.552612431726872
2024-07-04,2.5087707426248276
2024-07-11,2.402495459924518
2024-07-19,2.43209734081463
2024-07-26,2.495115186584915
2024-08-02,2.494249069467031
2024-08-09,2.5249712647275664
2024-08-19,2.5020232811427467
2024-08-26,2.4980476954002917
2024-09-02,2.480739850306614
2024-09-09,2.4841479308658037
2024-09-16,2.474781967662452
2024-09-23,2.471459412080864
2024-09-30,2.498770219496556
2024-10-08,2.628914142425777
2024-10-15,2.557013872404128
2024-10-22,2.5862757361103967
2024-10-29,2.5969974340707904
2024-11-05,2.611812592134159
2024-11-12,2.635452529682361
2024-11-21,2.733571845364224
2024-11-28,2.7181024746502205
2024-12-05,2.7723905271713196
2024-12-12,2.7917965979134682
2024-12-19,2.74994893540543
2024-12-27,2.80756288253557
2025-01-03,2.638137508033055
2025-01-10,2.6593900903380354
2025-01-17,2.5890882800110244
2025-01-24,2.5787811181840183
2025-01-31,2.5818332879600696
2025-02-06,2.581937420923681
2025-02-13,2.5490262706913778
2025-02-20,2.4929640244860276
2025-02-28,2.5804722387866366
2025-03-07,2.5732311623239315
2025-03-17,2.6878453271648746
2025-03-24,2.6719084105128674
2025-04-01,2.643164001969193
2025-04-08,2.6864369066515916
